date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:48	11761/11761	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-select/js/dataTables.select.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-select/js/dataTables.select.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:50	10754/10754	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/clipboard/dist/clipboard.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/clipboard/dist/clipboard.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:52	68388/68388	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/select2/dist/js/select2.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/select2/dist/js/select2.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:53	33693/33693	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/bootstrap-datepicker/dist/js/bootstrap-datepicker.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/bootstrap-datepicker/dist/js/bootstrap-datepicker.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:55	22056/22056	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/nouislider/distribute/nouislider.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/nouislider/distribute/nouislider.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:57	215348/215348	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/quill/dist/quill.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/quill/dist/quill.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:58	43003/43003	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/dropzone/dist/min/dropzone.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/dropzone/dist/min/dropzone.min.js	(from https://boomchart.net/kingsmen/admin)
23:50:00	9167/9167	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/bootstrap-tagsinput/dist/bootstrap-tagsinput.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/bootstrap-tagsinput/dist/bootstrap-tagsinput.min.js	(from https://boomchart.net/kingsmen/admin)
23:50:02	48275/48275	---M--	200	added ('OK')	application/javascript	date:Thu,%2011%20Feb%202021%2016:13:23%20GMT	https://boomchart.net/kingsmen/asset/dashboard/js/argon.js?v=1.1.0	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/js/argon9f1e.js	(from https://boomchart.net/kingsmen/admin)
23:50:03	1660/1660	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/js/demo.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/js/demo.min.js	(from https://boomchart.net/kingsmen/admin)
