date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:40	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:43%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_light.eot?	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_light.1cd41d.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:41	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:44%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_light.woff	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_light.1d.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:43	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:46%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_light.svg	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_light.1e.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:44	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:47%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_regular.eot	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_regular.1f.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:47	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:51%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_regular.ttf	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_regular.21.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:48	108408/108408	---M--	200	added ('OK')	font/woff	date:Thu,%2009%20Apr%202020%2008:03:46%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_regular.woff	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_regular.woff	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:49	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:52%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_regular.eot?	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_regular.22d41d.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:51	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:54%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_regular.svg	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_regular.23.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:53	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:57%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_medium.eot	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_medium.24.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
12:21:55	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20May%202021%2018:21:58%20GMT	https://boomchart.net/flutter/asset/fonts/graphik/graphik_medium.eot?	C:/Users/FUNDZ2/Desktop/NEW%20SITE/boomchart.net/flutter/asset/fonts/graphik/graphik_medium.25d41d.delayed	(from https://boomchart.net/flutter/asset/css/theme.css)
